side,rank_in_side,ticker,sector,comp_sn,comp_sn_z,liquidity_proxy,cohort,target_weight,target_weight_pct,side_gross_pct,weighting,review_status,order_action
LONG,1,APP,Information Technology,5.0787,2.967,958690151.55,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,2,LULU,Consumer Discretionary,4.4089,2.5756,453086139.0,new,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,3,IP,Materials,4.01243,2.3439,167255542.47,new,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,4,PM,Consumer Staples,3.88587,2.2699,446906305.04,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,5,NOW,Information Technology,3.8313,2.238,784865169.87,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,6,SNDK,Information Technology,3.55072,2.0741,5533086460.12,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,7,DXCM,Health Care,3.41381,1.9941,658743622.53,new,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,8,EXE,Energy,3.41343,1.9939,207369272.35,new,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,9,EQT,Energy,3.17681,1.8556,250876696.42,new,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,10,LYV,Communication Services,3.0021,1.7535,170609749.28,new,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,11,MCO,Financials,2.92095,1.7061,229915110.33,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,12,GEV,Utilities,2.87247,1.6777,1477850918.11,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,13,SHOP,Information Technology,2.81219,1.6425,927856082.41,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,14,SLB,Energy,2.79294,1.6313,440944679.55,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,15,APD,Materials,2.70529,1.58,254762317.73,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,16,CMG,Consumer Discretionary,2.64773,1.5464,18641712969.91,new,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,17,ANET,Information Technology,2.56104,1.4957,404809200.87,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,18,VRT,Industrials,2.52691,1.4758,368724024.06,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
LONG,19,NFLX,Communication Services,2.5047,1.4628,2701766792.6,old,0.04,4.0,100.0,EQUAL,PAPER_REVIEW_ONLY,NO_ORDER
