model,horizon,feature,feature_family,mean_standardized_weight,mean_abs_weight,mean_chosen_lambda,folds
ridge_technical_only,21d,return_5d,technical_price,-0.005739,0.006571,57.3143,7
ridge_technical_only,21d,return_21d,technical_price,-0.053584,0.053584,57.3143,7
ridge_technical_only,21d,return_63d,technical_price,0.066082,0.066082,57.3143,7
ridge_technical_only,21d,return_126d,technical_price,0.147137,0.147137,57.3143,7
ridge_technical_only,21d,momentum_21_126,technical_price,-0.114653,0.114653,57.3143,7
ridge_technical_only,21d,volatility_21d,technical_price,-0.027546,0.027546,57.3143,7
ridge_technical_only,21d,volatility_63d,technical_price,0.022819,0.023294,57.3143,7
ridge_technical_only,21d,drawdown_63d,technical_price,-0.093606,0.093606,57.3143,7
ridge_technical_only,21d,price_vs_sma_21d,technical_price,0.020605,0.023863,57.3143,7
ridge_technical_only,21d,price_vs_sma_63d,technical_price,-0.026019,0.026019,57.3143,7
ridge_technical_only,21d,realized_skew_63d,technical_price,-0.006421,0.006555,57.3143,7
ridge_technical_only,21d,realized_kurtosis_63d,technical_price,-0.001329,0.004155,57.3143,7
ridge_technical_only,63d,return_5d,technical_price,-0.00717,0.00717,44.4571,7
ridge_technical_only,63d,return_21d,technical_price,0.046967,0.046967,44.4571,7
ridge_technical_only,63d,return_63d,technical_price,0.062495,0.062495,44.4571,7
ridge_technical_only,63d,return_126d,technical_price,-0.100934,0.100934,44.4571,7
ridge_technical_only,63d,momentum_21_126,technical_price,0.122248,0.122248,44.4571,7
ridge_technical_only,63d,volatility_21d,technical_price,-0.005295,0.009816,44.4571,7
ridge_technical_only,63d,volatility_63d,technical_price,0.03436,0.03436,44.4571,7
ridge_technical_only,63d,drawdown_63d,technical_price,-0.094436,0.094436,44.4571,7
ridge_technical_only,63d,price_vs_sma_21d,technical_price,-0.007854,0.007854,44.4571,7
ridge_technical_only,63d,price_vs_sma_63d,technical_price,0.033488,0.035486,44.4571,7
ridge_technical_only,63d,realized_skew_63d,technical_price,-0.025257,0.025257,44.4571,7
ridge_technical_only,63d,realized_kurtosis_63d,technical_price,0.024721,0.024721,44.4571,7
ridge_technical_only,126d,return_5d,technical_price,-0.000799,0.001906,51.7,6
ridge_technical_only,126d,return_21d,technical_price,0.081609,0.081609,51.7,6
ridge_technical_only,126d,return_63d,technical_price,0.058691,0.058691,51.7,6
ridge_technical_only,126d,return_126d,technical_price,-0.172513,0.172513,51.7,6
ridge_technical_only,126d,momentum_21_126,technical_price,0.207228,0.207228,51.7,6
ridge_technical_only,126d,volatility_21d,technical_price,-0.004715,0.006967,51.7,6
ridge_technical_only,126d,volatility_63d,technical_price,0.051835,0.051835,51.7,6
ridge_technical_only,126d,drawdown_63d,technical_price,-0.111482,0.111482,51.7,6
ridge_technical_only,126d,price_vs_sma_21d,technical_price,-0.005655,0.006794,51.7,6
ridge_technical_only,126d,price_vs_sma_63d,technical_price,0.052029,0.069544,51.7,6
ridge_technical_only,126d,realized_skew_63d,technical_price,-0.016931,0.016931,51.7,6
ridge_technical_only,126d,realized_kurtosis_63d,technical_price,0.052208,0.052208,51.7,6
ridge_sec_fundamental_only,21d,operating_margin,sec_fundamental,-0.006864,0.007606,60.0143,7
ridge_sec_fundamental_only,21d,net_margin,sec_fundamental,0.007749,0.013421,60.0143,7
ridge_sec_fundamental_only,21d,cash_conversion,sec_fundamental,0.000726,0.006209,60.0143,7
ridge_sec_fundamental_only,21d,accrual_proxy,sec_fundamental,-0.019965,0.02585,60.0143,7
ridge_sec_fundamental_only,21d,log_total_assets,sec_fundamental,-0.055838,0.055838,60.0143,7
ridge_sec_fundamental_only,21d,filing_lag_days,sec_fundamental,-0.019372,0.019372,60.0143,7
ridge_sec_fundamental_only,21d,debt_proxy_total_liabilities_to_assets,sec_fundamental,0.004881,0.005377,60.0143,7
ridge_sec_fundamental_only,21d,revenue_yoy_growth,sec_fundamental,0.018931,0.018931,60.0143,7
ridge_sec_fundamental_only,21d,eps_diluted_yoy_growth,sec_fundamental,0.003134,0.007226,60.0143,7
ridge_sec_fundamental_only,63d,operating_margin,sec_fundamental,-0.009075,0.013924,58.6,7
ridge_sec_fundamental_only,63d,net_margin,sec_fundamental,0.006422,0.019416,58.6,7
ridge_sec_fundamental_only,63d,cash_conversion,sec_fundamental,0.003879,0.009686,58.6,7
ridge_sec_fundamental_only,63d,accrual_proxy,sec_fundamental,-0.027499,0.042829,58.6,7
ridge_sec_fundamental_only,63d,log_total_assets,sec_fundamental,-0.091969,0.091969,58.6,7
ridge_sec_fundamental_only,63d,filing_lag_days,sec_fundamental,-0.036183,0.036183,58.6,7
ridge_sec_fundamental_only,63d,debt_proxy_total_liabilities_to_assets,sec_fundamental,0.009258,0.009258,58.6,7
ridge_sec_fundamental_only,63d,revenue_yoy_growth,sec_fundamental,0.041087,0.041087,58.6,7
ridge_sec_fundamental_only,63d,eps_diluted_yoy_growth,sec_fundamental,0.006947,0.009076,58.6,7
ridge_sec_fundamental_only,126d,operating_margin,sec_fundamental,-0.007074,0.018691,68.35,6
ridge_sec_fundamental_only,126d,net_margin,sec_fundamental,0.009289,0.014533,68.35,6
ridge_sec_fundamental_only,126d,cash_conversion,sec_fundamental,0.009893,0.012936,68.35,6
ridge_sec_fundamental_only,126d,accrual_proxy,sec_fundamental,-0.01276,0.037609,68.35,6
ridge_sec_fundamental_only,126d,log_total_assets,sec_fundamental,-0.141638,0.141638,68.35,6
ridge_sec_fundamental_only,126d,filing_lag_days,sec_fundamental,-0.040231,0.040231,68.35,6
ridge_sec_fundamental_only,126d,debt_proxy_total_liabilities_to_assets,sec_fundamental,0.009815,0.009815,68.35,6
ridge_sec_fundamental_only,126d,revenue_yoy_growth,sec_fundamental,0.062084,0.062084,68.35,6
ridge_sec_fundamental_only,126d,eps_diluted_yoy_growth,sec_fundamental,0.011458,0.011458,68.35,6
ridge_combined_no_earnings,21d,return_5d,technical_price,-0.008382,0.008382,71.4571,7
ridge_combined_no_earnings,21d,return_21d,technical_price,-0.014179,0.02348,71.4571,7
ridge_combined_no_earnings,21d,return_63d,technical_price,0.06389,0.06389,71.4571,7
ridge_combined_no_earnings,21d,return_126d,technical_price,0.106497,0.106497,71.4571,7
ridge_combined_no_earnings,21d,momentum_21_126,technical_price,-0.088705,0.088705,71.4571,7
ridge_combined_no_earnings,21d,volatility_21d,technical_price,-0.026141,0.035522,71.4571,7
ridge_combined_no_earnings,21d,volatility_63d,technical_price,0.008982,0.016759,71.4571,7
ridge_combined_no_earnings,21d,drawdown_63d,technical_price,-0.09453,0.09453,71.4571,7
ridge_combined_no_earnings,21d,price_vs_sma_21d,technical_price,0.005938,0.016265,71.4571,7
ridge_combined_no_earnings,21d,price_vs_sma_63d,technical_price,-0.025655,0.025655,71.4571,7
ridge_combined_no_earnings,21d,realized_skew_63d,technical_price,-0.002373,0.00531,71.4571,7
ridge_combined_no_earnings,21d,realized_kurtosis_63d,technical_price,-0.003756,0.00572,71.4571,7
ridge_combined_no_earnings,21d,historical_same_month_avg_return_by_ticker,seasonality_calendar,0.017477,0.017477,71.4571,7
ridge_combined_no_earnings,21d,historical_same_month_win_rate_by_ticker,seasonality_calendar,-0.008796,0.00922,71.4571,7
ridge_combined_no_earnings,21d,historical_month_rank_by_ticker,seasonality_calendar,0.002642,0.007661,71.4571,7
ridge_combined_no_earnings,21d,ticker_return_21d_minus_sector_return_21d,sector_relative,0.004776,0.007204,71.4571,7
ridge_combined_no_earnings,21d,ticker_return_63d_minus_sector_return_63d,sector_relative,0.013522,0.019532,71.4571,7
ridge_combined_no_earnings,21d,ticker_vol_21d_minus_sector_vol_21d,sector_relative,0.006309,0.017595,71.4571,7
ridge_combined_no_earnings,21d,sector_return_21d_minus_spy_return_21d,sector_relative,-0.00813,0.014462,71.4571,7
ridge_combined_no_earnings,21d,sector_return_63d_minus_spy_return_63d,sector_relative,-0.007788,0.008364,71.4571,7
ridge_combined_no_earnings,21d,sector_relative_strength_rank_by_date,sector_relative,0.028763,0.028763,71.4571,7
ridge_combined_no_earnings,21d,ticker_rank_within_sector_21d,sector_relative,0.030793,0.030793,71.4571,7
ridge_combined_no_earnings,21d,ticker_rank_within_sector_63d,sector_relative,0.022305,0.022305,71.4571,7
ridge_combined_no_earnings,21d,operating_margin,sec_fundamental,-0.005119,0.007922,71.4571,7
ridge_combined_no_earnings,21d,net_margin,sec_fundamental,0.006844,0.013428,71.4571,7
ridge_combined_no_earnings,21d,cash_conversion,sec_fundamental,0.002308,0.006666,71.4571,7
ridge_combined_no_earnings,21d,accrual_proxy,sec_fundamental,-0.018171,0.02519,71.4571,7
ridge_combined_no_earnings,21d,log_total_assets,sec_fundamental,-0.053192,0.053192,71.4571,7
ridge_combined_no_earnings,21d,filing_lag_days,sec_fundamental,-0.020423,0.020423,71.4571,7
ridge_combined_no_earnings,21d,debt_proxy_total_liabilities_to_assets,sec_fundamental,0.005312,0.006206,71.4571,7
ridge_combined_no_earnings,21d,revenue_yoy_growth,sec_fundamental,0.015813,0.015813,71.4571,7
ridge_combined_no_earnings,21d,eps_diluted_yoy_growth,sec_fundamental,0.002529,0.006904,71.4571,7
ridge_combined_no_earnings,21d,ar1_beta_63d,time_series_arima_style,-0.006694,0.006694,71.4571,7
ridge_combined_no_earnings,21d,ar1_residual_zscore_63d,time_series_arima_style,0.000858,0.001043,71.4571,7
ridge_combined_no_earnings,21d,rolling_mean_reversion_signal_21d,time_series_arima_style,-0.019343,0.019343,71.4571,7
ridge_combined_no_earnings,21d,trend_persistence_63d,time_series_arima_style,0.003875,0.009801,71.4571,7
ridge_combined_no_earnings,21d,forecast_error_direction_21d,time_series_arima_style,0.002303,0.003116,71.4571,7
ridge_combined_no_earnings,63d,return_5d,technical_price,-0.010578,0.010578,43.1714,7
ridge_combined_no_earnings,63d,return_21d,technical_price,0.093267,0.093267,43.1714,7
ridge_combined_no_earnings,63d,return_63d,technical_price,0.054158,0.054158,43.1714,7
ridge_combined_no_earnings,63d,return_126d,technical_price,-0.152838,0.152838,43.1714,7
ridge_combined_no_earnings,63d,momentum_21_126,technical_price,0.152152,0.152152,43.1714,7
ridge_combined_no_earnings,63d,volatility_21d,technical_price,0.00909,0.020839,43.1714,7
ridge_combined_no_earnings,63d,volatility_63d,technical_price,0.014126,0.02273,43.1714,7
ridge_combined_no_earnings,63d,drawdown_63d,technical_price,-0.086159,0.086159,43.1714,7
ridge_combined_no_earnings,63d,price_vs_sma_21d,technical_price,-0.028859,0.028859,43.1714,7
ridge_combined_no_earnings,63d,price_vs_sma_63d,technical_price,0.029395,0.031424,43.1714,7
ridge_combined_no_earnings,63d,realized_skew_63d,technical_price,-0.017447,0.017447,43.1714,7
ridge_combined_no_earnings,63d,realized_kurtosis_63d,technical_price,0.023192,0.023192,43.1714,7
ridge_combined_no_earnings,63d,historical_same_month_avg_return_by_ticker,seasonality_calendar,0.053558,0.053558,43.1714,7
ridge_combined_no_earnings,63d,historical_same_month_win_rate_by_ticker,seasonality_calendar,-0.017156,0.017156,43.1714,7
ridge_combined_no_earnings,63d,historical_month_rank_by_ticker,seasonality_calendar,0.024891,0.024891,43.1714,7
ridge_combined_no_earnings,63d,ticker_return_21d_minus_sector_return_21d,sector_relative,-0.028686,0.028686,43.1714,7
ridge_combined_no_earnings,63d,ticker_return_63d_minus_sector_return_63d,sector_relative,0.053338,0.053338,43.1714,7
ridge_combined_no_earnings,63d,ticker_vol_21d_minus_sector_vol_21d,sector_relative,-0.010715,0.019818,43.1714,7
ridge_combined_no_earnings,63d,sector_return_21d_minus_spy_return_21d,sector_relative,-0.021693,0.021693,43.1714,7
ridge_combined_no_earnings,63d,sector_return_63d_minus_spy_return_63d,sector_relative,0.011765,0.013734,43.1714,7
ridge_combined_no_earnings,63d,sector_relative_strength_rank_by_date,sector_relative,0.014741,0.018002,43.1714,7
ridge_combined_no_earnings,63d,ticker_rank_within_sector_21d,sector_relative,-0.013545,0.013545,43.1714,7
ridge_combined_no_earnings,63d,ticker_rank_within_sector_63d,sector_relative,0.083321,0.083321,43.1714,7
ridge_combined_no_earnings,63d,operating_margin,sec_fundamental,-0.006458,0.015511,43.1714,7
ridge_combined_no_earnings,63d,net_margin,sec_fundamental,0.003485,0.018862,43.1714,7
ridge_combined_no_earnings,63d,cash_conversion,sec_fundamental,0.005301,0.009089,43.1714,7
ridge_combined_no_earnings,63d,accrual_proxy,sec_fundamental,-0.022905,0.037282,43.1714,7
ridge_combined_no_earnings,63d,log_total_assets,sec_fundamental,-0.083589,0.083589,43.1714,7
ridge_combined_no_earnings,63d,filing_lag_days,sec_fundamental,-0.035461,0.035461,43.1714,7
ridge_combined_no_earnings,63d,debt_proxy_total_liabilities_to_assets,sec_fundamental,0.010429,0.010429,43.1714,7
ridge_combined_no_earnings,63d,revenue_yoy_growth,sec_fundamental,0.035976,0.035976,43.1714,7
ridge_combined_no_earnings,63d,eps_diluted_yoy_growth,sec_fundamental,0.007233,0.008749,43.1714,7
ridge_combined_no_earnings,63d,ar1_beta_63d,time_series_arima_style,0.007335,0.010076,43.1714,7
ridge_combined_no_earnings,63d,ar1_residual_zscore_63d,time_series_arima_style,0.000849,0.00193,43.1714,7
ridge_combined_no_earnings,63d,rolling_mean_reversion_signal_21d,time_series_arima_style,-0.024767,0.024767,43.1714,7
ridge_combined_no_earnings,63d,trend_persistence_63d,time_series_arima_style,-0.005745,0.010529,43.1714,7
ridge_combined_no_earnings,63d,forecast_error_direction_21d,time_series_arima_style,0.008684,0.008684,43.1714,7
ridge_combined_no_earnings,126d,return_5d,technical_price,-0.000999,0.00317,68.35,6
ridge_combined_no_earnings,126d,return_21d,technical_price,0.113109,0.113109,68.35,6
ridge_combined_no_earnings,126d,return_63d,technical_price,0.06859,0.06859,68.35,6
ridge_combined_no_earnings,126d,return_126d,technical_price,-0.239346,0.239346,68.35,6
ridge_combined_no_earnings,126d,momentum_21_126,technical_price,0.245023,0.245023,68.35,6
ridge_combined_no_earnings,126d,volatility_21d,technical_price,0.010585,0.024809,68.35,6
ridge_combined_no_earnings,126d,volatility_63d,technical_price,0.030188,0.030188,68.35,6
ridge_combined_no_earnings,126d,drawdown_63d,technical_price,-0.099826,0.099826,68.35,6
ridge_combined_no_earnings,126d,price_vs_sma_21d,technical_price,-0.007388,0.008248,68.35,6
ridge_combined_no_earnings,126d,price_vs_sma_63d,technical_price,0.050124,0.053072,68.35,6
ridge_combined_no_earnings,126d,realized_skew_63d,technical_price,-0.008504,0.016157,68.35,6
ridge_combined_no_earnings,126d,realized_kurtosis_63d,technical_price,0.049385,0.049385,68.35,6
ridge_combined_no_earnings,126d,historical_same_month_avg_return_by_ticker,seasonality_calendar,0.062266,0.062266,68.35,6
ridge_combined_no_earnings,126d,historical_same_month_win_rate_by_ticker,seasonality_calendar,-0.009348,0.009348,68.35,6
ridge_combined_no_earnings,126d,historical_month_rank_by_ticker,seasonality_calendar,0.030259,0.030259,68.35,6
ridge_combined_no_earnings,126d,ticker_return_21d_minus_sector_return_21d,sector_relative,-0.007486,0.012021,68.35,6
ridge_combined_no_earnings,126d,ticker_return_63d_minus_sector_return_63d,sector_relative,0.042509,0.04396,68.35,6
ridge_combined_no_earnings,126d,ticker_vol_21d_minus_sector_vol_21d,sector_relative,-0.015974,0.029012,68.35,6
ridge_combined_no_earnings,126d,sector_return_21d_minus_spy_return_21d,sector_relative,-0.012477,0.012477,68.35,6
ridge_combined_no_earnings,126d,sector_return_63d_minus_spy_return_63d,sector_relative,-0.000715,0.016371,68.35,6
ridge_combined_no_earnings,126d,sector_relative_strength_rank_by_date,sector_relative,0.002005,0.010289,68.35,6
ridge_combined_no_earnings,126d,ticker_rank_within_sector_21d,sector_relative,0.001375,0.00714,68.35,6
ridge_combined_no_earnings,126d,ticker_rank_within_sector_63d,sector_relative,0.088575,0.088575,68.35,6
ridge_combined_no_earnings,126d,operating_margin,sec_fundamental,-0.004678,0.017271,68.35,6
ridge_combined_no_earnings,126d,net_margin,sec_fundamental,0.007555,0.015206,68.35,6
ridge_combined_no_earnings,126d,cash_conversion,sec_fundamental,0.010969,0.012771,68.35,6
ridge_combined_no_earnings,126d,accrual_proxy,sec_fundamental,-0.008578,0.03235,68.35,6
ridge_combined_no_earnings,126d,log_total_assets,sec_fundamental,-0.128008,0.128008,68.35,6
ridge_combined_no_earnings,126d,filing_lag_days,sec_fundamental,-0.037867,0.037867,68.35,6
ridge_combined_no_earnings,126d,debt_proxy_total_liabilities_to_assets,sec_fundamental,0.010476,0.011046,68.35,6
ridge_combined_no_earnings,126d,revenue_yoy_growth,sec_fundamental,0.05528,0.05528,68.35,6
ridge_combined_no_earnings,126d,eps_diluted_yoy_growth,sec_fundamental,0.012402,0.012402,68.35,6
ridge_combined_no_earnings,126d,ar1_beta_63d,time_series_arima_style,0.012106,0.012106,68.35,6
ridge_combined_no_earnings,126d,ar1_residual_zscore_63d,time_series_arima_style,0.003662,0.004436,68.35,6
ridge_combined_no_earnings,126d,rolling_mean_reversion_signal_21d,time_series_arima_style,0.00167,0.011651,68.35,6
ridge_combined_no_earnings,126d,trend_persistence_63d,time_series_arima_style,-0.014746,0.018543,68.35,6
ridge_combined_no_earnings,126d,forecast_error_direction_21d,time_series_arima_style,-0.00481,0.005582,68.35,6
ridge_combined_with_partial_earnings,21d,return_5d,technical_price,-0.008466,0.008466,85.8571,7
ridge_combined_with_partial_earnings,21d,return_21d,technical_price,-0.01258,0.021436,85.8571,7
ridge_combined_with_partial_earnings,21d,return_63d,technical_price,0.062875,0.062875,85.8571,7
ridge_combined_with_partial_earnings,21d,return_126d,technical_price,0.102408,0.102408,85.8571,7
ridge_combined_with_partial_earnings,21d,momentum_21_126,technical_price,-0.08602,0.08602,85.8571,7
ridge_combined_with_partial_earnings,21d,volatility_21d,technical_price,-0.02542,0.035256,85.8571,7
ridge_combined_with_partial_earnings,21d,volatility_63d,technical_price,0.010467,0.017986,85.8571,7
ridge_combined_with_partial_earnings,21d,drawdown_63d,technical_price,-0.088319,0.088319,85.8571,7
ridge_combined_with_partial_earnings,21d,price_vs_sma_21d,technical_price,0.006106,0.016259,85.8571,7
ridge_combined_with_partial_earnings,21d,price_vs_sma_63d,technical_price,-0.030235,0.030235,85.8571,7
ridge_combined_with_partial_earnings,21d,realized_skew_63d,technical_price,-0.001802,0.005723,85.8571,7
ridge_combined_with_partial_earnings,21d,realized_kurtosis_63d,technical_price,-0.003215,0.005757,85.8571,7
ridge_combined_with_partial_earnings,21d,historical_same_month_avg_return_by_ticker,seasonality_calendar,0.013815,0.013815,85.8571,7
ridge_combined_with_partial_earnings,21d,historical_same_month_win_rate_by_ticker,seasonality_calendar,-0.006942,0.007558,85.8571,7
ridge_combined_with_partial_earnings,21d,historical_month_rank_by_ticker,seasonality_calendar,0.001446,0.007299,85.8571,7
ridge_combined_with_partial_earnings,21d,ticker_return_21d_minus_sector_return_21d,sector_relative,0.00461,0.007074,85.8571,7
ridge_combined_with_partial_earnings,21d,ticker_return_63d_minus_sector_return_63d,sector_relative,0.009009,0.019914,85.8571,7
ridge_combined_with_partial_earnings,21d,ticker_vol_21d_minus_sector_vol_21d,sector_relative,0.005773,0.017831,85.8571,7
ridge_combined_with_partial_earnings,21d,sector_return_21d_minus_spy_return_21d,sector_relative,-0.008456,0.014484,85.8571,7
ridge_combined_with_partial_earnings,21d,sector_return_63d_minus_spy_return_63d,sector_relative,-0.007855,0.008491,85.8571,7
ridge_combined_with_partial_earnings,21d,sector_relative_strength_rank_by_date,sector_relative,0.028236,0.028236,85.8571,7
ridge_combined_with_partial_earnings,21d,ticker_rank_within_sector_21d,sector_relative,0.031315,0.031315,85.8571,7
ridge_combined_with_partial_earnings,21d,ticker_rank_within_sector_63d,sector_relative,0.019054,0.019054,85.8571,7
ridge_combined_with_partial_earnings,21d,operating_margin,sec_fundamental,-0.004845,0.007483,85.8571,7
ridge_combined_with_partial_earnings,21d,net_margin,sec_fundamental,0.006361,0.013133,85.8571,7
ridge_combined_with_partial_earnings,21d,cash_conversion,sec_fundamental,0.002184,0.006587,85.8571,7
ridge_combined_with_partial_earnings,21d,accrual_proxy,sec_fundamental,-0.018527,0.025304,85.8571,7
ridge_combined_with_partial_earnings,21d,log_total_assets,sec_fundamental,-0.051834,0.051834,85.8571,7
ridge_combined_with_partial_earnings,21d,filing_lag_days,sec_fundamental,-0.021635,0.021635,85.8571,7
ridge_combined_with_partial_earnings,21d,debt_proxy_total_liabilities_to_assets,sec_fundamental,0.004838,0.00599,85.8571,7
ridge_combined_with_partial_earnings,21d,revenue_yoy_growth,sec_fundamental,0.016225,0.016225,85.8571,7
ridge_combined_with_partial_earnings,21d,eps_diluted_yoy_growth,sec_fundamental,0.002465,0.007181,85.8571,7
ridge_combined_with_partial_earnings,21d,ar1_beta_63d,time_series_arima_style,-0.005738,0.005922,85.8571,7
ridge_combined_with_partial_earnings,21d,ar1_residual_zscore_63d,time_series_arima_style,0.000736,0.001074,85.8571,7
ridge_combined_with_partial_earnings,21d,rolling_mean_reversion_signal_21d,time_series_arima_style,-0.019314,0.019314,85.8571,7
ridge_combined_with_partial_earnings,21d,trend_persistence_63d,time_series_arima_style,0.004488,0.010447,85.8571,7
ridge_combined_with_partial_earnings,21d,forecast_error_direction_21d,time_series_arima_style,0.002401,0.003226,85.8571,7
ridge_combined_with_partial_earnings,21d,eps_surprise,earnings_surprise,0.007627,0.009652,85.8571,7
ridge_combined_with_partial_earnings,21d,eps_surprise_pct,earnings_surprise,-0.045619,0.045619,85.8571,7
ridge_combined_with_partial_earnings,21d,trailing_4q_avg_surprise_pct,earnings_surprise,0.036931,0.036931,85.8571,7
ridge_combined_with_partial_earnings,21d,trailing_4q_positive_surprise_rate,earnings_surprise,-0.014464,0.014464,85.8571,7
ridge_combined_with_partial_earnings,21d,surprise_acceleration,earnings_surprise,0.033067,0.033067,85.8571,7
ridge_combined_with_partial_earnings,21d,days_since_last_earnings,earnings_surprise,0.010512,0.010512,85.8571,7
ridge_combined_with_partial_earnings,63d,return_5d,technical_price,-0.010984,0.010984,57.3143,7
ridge_combined_with_partial_earnings,63d,return_21d,technical_price,0.089469,0.089469,57.3143,7
ridge_combined_with_partial_earnings,63d,return_63d,technical_price,0.053571,0.053571,57.3143,7
ridge_combined_with_partial_earnings,63d,return_126d,technical_price,-0.145839,0.145839,57.3143,7
ridge_combined_with_partial_earnings,63d,momentum_21_126,technical_price,0.144091,0.144091,57.3143,7
ridge_combined_with_partial_earnings,63d,volatility_21d,technical_price,0.008301,0.020949,57.3143,7
ridge_combined_with_partial_earnings,63d,volatility_63d,technical_price,0.020225,0.027236,57.3143,7
ridge_combined_with_partial_earnings,63d,drawdown_63d,technical_price,-0.071521,0.072898,57.3143,7
ridge_combined_with_partial_earnings,63d,price_vs_sma_21d,technical_price,-0.027534,0.027534,57.3143,7
ridge_combined_with_partial_earnings,63d,price_vs_sma_63d,technical_price,0.016128,0.028413,57.3143,7
ridge_combined_with_partial_earnings,63d,realized_skew_63d,technical_price,-0.015864,0.015864,57.3143,7
ridge_combined_with_partial_earnings,63d,realized_kurtosis_63d,technical_price,0.024425,0.024425,57.3143,7
ridge_combined_with_partial_earnings,63d,historical_same_month_avg_return_by_ticker,seasonality_calendar,0.047266,0.047266,57.3143,7
ridge_combined_with_partial_earnings,63d,historical_same_month_win_rate_by_ticker,seasonality_calendar,-0.013099,0.013099,57.3143,7
ridge_combined_with_partial_earnings,63d,historical_month_rank_by_ticker,seasonality_calendar,0.023626,0.023626,57.3143,7
ridge_combined_with_partial_earnings,63d,ticker_return_21d_minus_sector_return_21d,sector_relative,-0.027839,0.027839,57.3143,7
ridge_combined_with_partial_earnings,63d,ticker_return_63d_minus_sector_return_63d,sector_relative,0.042265,0.042265,57.3143,7
ridge_combined_with_partial_earnings,63d,ticker_vol_21d_minus_sector_vol_21d,sector_relative,-0.012096,0.020542,57.3143,7
