ticker,side,target_weight,repaired_sector,signal_composite_sn_repaired,signal_date,price_source,has_local_price,order_action,review_status,live_weight_status
EXPE,LONG,0.02,Consumer Discretionary,8.76583,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
EA,LONG,0.02,Communication Services,6.062905,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
APP,LONG,0.02,Information Technology,5.078696,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
LULU,LONG,0.02,Consumer Discretionary,4.408899,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
IP,LONG,0.02,Materials,4.012426,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
SNDK,LONG,0.02,Information Technology,3.550716,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
DXCM,LONG,0.02,Health Care,3.413812,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
LYV,LONG,0.02,Communication Services,3.002095,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
SHOP,LONG,0.02,Information Technology,2.812187,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
APD,LONG,0.02,Materials,2.705294,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
SMERY,LONG,0.02,Industrials,2.698314,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
ANET,LONG,0.02,Information Technology,2.561036,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
BUD,LONG,0.02,Consumer Staples,2.524666,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
GWW,LONG,0.02,Industrials,2.308854,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
ABNB,LONG,0.02,Consumer Discretionary,2.287194,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
EXPD,LONG,0.02,Industrials,2.268359,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
B,LONG,0.02,Materials,2.219894,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
UBER,LONG,0.02,Industrials,2.140016,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
FOX,LONG,0.02,Communication Services,2.115521,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
FOXA,LONG,0.02,Communication Services,2.115521,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
FANG,LONG,0.02,Energy,2.098728,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
RACE,LONG,0.02,Consumer Discretionary,2.013946,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
GDDY,LONG,0.02,Information Technology,1.91769,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
DDOG,LONG,0.02,Information Technology,1.894192,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
