experiment_id,category,owning_agent,family,score_key,quantile,gate,max_pos,scope,challenges,status,n_periods,avg_names,one_sided_turnover,net_sharpe_25bps,net_ann_return_25bps,net_max_drawdown_25bps,net_sharpe_50bps,net_sharpe_100bps,spy_sharpe,ew_universe_sharpe,net_sharpe_minus_spy,net_sharpe_minus_ew,placebo_net_sharpe_25bps,net_sharpe_minus_placebo,subperiod_net_sharpe,subperiod_beats_spy,leakage_check,reason
MR01,CONFIRM,momentum-signal-agent,momentum,mom_12_1,top_quintile,,0.1,full,EXP02,WEAK,425,100.12,0.247,0.798517,0.123013,-0.523425,0.707271,0.524809,0.769587,0.775004,0.02893,0.023513,0.43558,0.362937,,,PASS_NO_LOOKAHEAD,"does not confirm out-of-sample (beats SPY in only 1/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
MR02,CONFIRM,volatility-liquidity-agent,volatility_liquidity,vol_adj_mom,top_quintile,,0.1,full,EXP11,WEAK,425,100.12,0.2455,0.838704,0.119581,-0.520938,0.739701,0.541457,0.769587,0.775004,0.069117,0.0637,0.465952,0.372752,,,PASS_NO_LOOKAHEAD,"does not confirm out-of-sample (beats SPY in only 1/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
MR03,MOMENTUM_ROBUSTNESS,momentum-signal-agent,momentum,mom_12_1,top_quintile,liq_gate,0.1,full,,WEAK,425,69.52,0.2842,0.780707,0.128645,-0.550355,0.68348,0.489034,0.769587,0.775004,0.01112,0.005703,0.420913,0.359794,,,PASS_NO_LOOKAHEAD,"does not confirm out-of-sample (beats SPY in only 1/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
MR04,MOMENTUM_ROBUSTNESS,volatility-liquidity-agent,volatility_liquidity,vol_adj_mom,top_quintile,liq_gate,0.1,full,,WEAK,425,69.52,0.2908,0.798412,0.11885,-0.546609,0.687144,0.464488,0.769587,0.775004,0.028825,0.023408,0.480683,0.317729,,,PASS_NO_LOOKAHEAD,"does not confirm out-of-sample (beats SPY in only 1/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
MR05,MOMENTUM_ROBUSTNESS,momentum-signal-agent,momentum,mom_6_1,top_quintile,,0.1,full,,REJECTED,431,100.29,0.3627,0.608758,0.090369,-0.554753,0.477019,0.213605,0.769587,0.753211,-0.160829,-0.144453,0.503726,0.105032,,,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.608758 <= SPY 0.769587)
MR06,MOMENTUM_ROBUSTNESS,trend-breadth-signal-agent,breadth_relative_strength,sector_rel_mom,top_quintile,,0.1,full,,REJECTED,425,100.12,0.2494,0.756384,0.110948,-0.544852,0.660578,0.468787,0.769587,0.775004,-0.013203,-0.01862,0.479455,0.276929,,,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.756384 <= SPY 0.769587)
NM01,NON_MOMENTUM,volatility-liquidity-agent,low_volatility,low_vol,top_quintile,,0.1,full,,WEAK,431,100.29,0.1412,0.855845,0.099523,-0.389039,0.784953,0.643122,0.769587,0.753211,0.086258,0.102634,0.395568,0.460277,,,PASS_NO_LOOKAHEAD,"does not confirm out-of-sample (beats SPY in only 2/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
NM02,NON_MOMENTUM,volatility-liquidity-agent,low_volatility,low_vol,top_decile,,0.1,full,,WEAK,431,50.3,0.1941,0.800064,0.094515,-0.401567,0.705413,0.515769,0.769587,0.753211,0.030477,0.046853,0.391624,0.40844,,,PASS_NO_LOOKAHEAD,"does not confirm out-of-sample (beats SPY in only 2/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
NM03,NON_MOMENTUM,reversal-signal-agent,reversal,rev_losers,top_quintile,,0.1,full,,REJECTED,436,100.33,0.7745,0.352324,0.054832,-0.754439,0.146157,-0.266018,0.769587,0.752178,-0.417263,-0.399854,0.460599,-0.108275,,,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.352324 <= SPY 0.769587)
NM04,NON_MOMENTUM,reversal-signal-agent,reversal,rev_losers,top_decile,,0.1,full,,REJECTED,436,50.33,0.8517,0.244346,0.029185,-0.814988,0.049345,-0.34073,0.769587,0.752178,-0.525241,-0.507832,0.404884,-0.160538,,,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.244346 <= SPY 0.769587)
