exp_id,cycle,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,status,promotion,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,hit_rate,reason,alpha_promotion,provider_limited
S8J-RATES-MACRO-20,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,PROMISING_SENSITIVITY_SETUP,PROMISING_EXTERNAL_SIGNAL,11881,6320,0.004035,0.001276,-0.157763,0.003413,0.523272,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic",PROMISING_ALPHA_SIGNAL,False
S8J-RATES-EARNCONF-20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,692,394,0.005328,0.003779,-0.155446,0.004877,0.543353,"insufficient events (total=692, recent=394)",PROMISING_ALPHA_SIGNAL,True
S8J-CH-EARN-NOCOHORT-20,1,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,,True,True,False,REJECTED,REJECTED,6051,1952,0.001933,-0.003273,-0.141688,-2.2e-05,0.50157,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8J-RATES-EARNPOS-20,1,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_rates_neg,False,True,False,REJECTED,REJECTED,870,394,-0.000356,0.001528,-0.153022,-0.000261,0.514943,"insufficient events (total=870, recent=394)",REJECTED,False
S8J-RATES-SECLEAD-20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,rates,cohort_sector_lead,False,True,False,REJECTED,REJECTED,9907,5211,0.000733,-0.001001,-0.202677,1.4e-05,0.513576,non-positive EV after 25bps (-0.001001),REJECTED,False
S8J-CH-EARN-NEG-20,1,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,cohort_surprise_sensitive,True,True,False,REJECTED,REJECTED,440,178,0.003752,-3.2e-05,-0.158847,0.003656,0.529545,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8J-OIL-POS-20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,oil,cohort_oil_pos,False,True,False,REJECTED,REJECTED,17389,10094,-0.001752,-0.009983,-0.165153,-0.002083,0.459716,non-positive EV after 25bps (-0.009983),REJECTED,False
S8J-OIL-SECLEAD-20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,oil,cohort_sector_lead,False,True,False,REJECTED,REJECTED,8053,4951,0.000142,-0.008383,-0.175076,7e-06,0.45958,non-positive EV after 25bps (-0.008383),REJECTED,False
S8J-CH-EARN-SECLEAD-NEG-20,1,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,cohort_sector_lead,True,True,False,REJECTED,REJECTED,215,95,0.01757,0.001726,-0.176997,0.023522,0.534884,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8J-USD-NEG-20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,usd,cohort_usd_neg,False,True,False,REJECTED,REJECTED,15438,10289,-6.6e-05,-0.007944,-0.164245,-0.007721,0.465604,non-positive EV after 25bps (-0.007944),REJECTED,False
S8J-USD-SECLEAD-20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,usd,cohort_sector_lead,False,True,False,REJECTED,REJECTED,5620,3428,-0.00378,-0.008406,-0.193637,-0.009419,0.462633,non-positive EV after 25bps (-0.008406),REJECTED,False
S8J-CH-RATES-NOCOHORT-20,1,F_s8e011_plus_external_confirmation,validation-skeptic-agent,rates,,True,True,False,REJECTED,REJECTED,2974,1557,-0.000275,-0.003945,-0.131049,0.00144,0.494956,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8G-A01,1,A_news_sentiment_x_sensitivity,news-sentiment-agent,news_sentiment,sentiment_sensitive,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,,,,,,,,no local data and no provider key; executable adapter + schema + command ready,PROVIDER_REQUIRED,False
S8G-D01,1,D_options_iv_x_sensitivity,options-signal-agent,options_iv,options_informative,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,,,,,,,,no local data and no provider key; executable adapter + schema + command ready,PROVIDER_REQUIRED,False
S8G-E01,1,E_short_interest_x_sensitivity,short-interest-agent,short_interest,squeeze_sensitive,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,,,,,,,,no local data and no provider key; executable adapter + schema + command ready,PROVIDER_REQUIRED,False
